Date,Open,High,Low,Close,Adj Close,Volume
2022-06-22,59000.000000,59100.000000,57600.000000,57600.000000,56180.625000,23334687
2022-06-23,57700.000000,58000.000000,56800.000000,57400.000000,55985.550781,28338608
2022-06-24,57900.000000,59100.000000,57700.000000,58400.000000,56960.914063,23256103
2022-06-27,59000.000000,59900.000000,58300.000000,58800.000000,57351.058594,18122236
2022-06-28,59200.000000,59500.000000,58700.000000,59400.000000,57936.269531,13540538
2022-06-29,58500.000000,58800.000000,58000.000000,58000.000000,56916.679688,14677138
2022-06-30,57200.000000,57600.000000,57000.000000,57000.000000,55935.359375,18915142
2022-07-01,56900.000000,57500.000000,55900.000000,56200.000000,55150.296875,24982097
2022-07-04,56100.000000,57400.000000,55700.000000,57100.000000,56033.488281,17807126
2022-07-05,57600.000000,58200.000000,57200.000000,57200.000000,56131.625000,14216539
2022-07-06,57300.000000,57300.000000,56400.000000,56400.000000,55346.562500,16820461
2022-07-07,56400.000000,58700.000000,56300.000000,58200.000000,57112.941406,21322833
2022-07-08,58600.000000,59300.000000,58200.000000,58700.000000,57603.601563,15339271
2022-07-11,59300.000000,59600.000000,58700.000000,58800.000000,57701.738281,13042624
2022-07-12,58600.000000,58700.000000,58100.000000,58100.000000,57014.808594,9336061
2022-07-13,58300.000000,58600.000000,58000.000000,58000.000000,56916.679688,10841315
2022-07-14,57500.000000,58200.000000,57400.000000,57500.000000,56426.015625,15067012
2022-07-15,58400.000000,60000.000000,58100.000000,60000.000000,58879.320313,18685583
2022-07-18,60600.000000,62000.000000,60500.000000,61900.000000,60743.835938,20832517
2022-07-19,61400.000000,61500.000000,60200.000000,60900.000000,59762.511719,15248261
2022-07-20,61800.000000,62100.000000,60500.000000,60500.000000,59369.980469,16782238
2022-07-21,61100.000000,61900.000000,60700.000000,61800.000000,60645.703125,12291374
2022-07-22,61800.000000,62200.000000,61200.000000,61300.000000,60155.039063,10261310
2022-07-25,60900.000000,61900.000000,60800.000000,61100.000000,59958.777344,9193681
2022-07-26,60800.000000,61900.000000,60800.000000,61700.000000,60547.570313,6597211
2022-07-27,61300.000000,61900.000000,61200.000000,61800.000000,60645.703125,7320997
2022-07-28,62300.000000,62600.000000,61600.000000,61900.000000,60743.835938,10745302
2022-07-29,62400.000000,62600.000000,61300.000000,61400.000000,60253.175781,15093120
2022-08-01,61000.000000,61700.000000,60300.000000,61300.000000,60155.039063,13154816
2022-08-02,61200.000000,61900.000000,61000.000000,61700.000000,60547.570313,13614895
2022-08-03,61600.000000,61600.000000,61000.000000,61300.000000,60155.039063,10053861
2022-08-04,61700.000000,61800.000000,61200.000000,61500.000000,60351.304688,9125439
2022-08-05,61700.000000,61900.000000,61200.000000,61500.000000,60351.304688,9567620
2022-08-08,61400.000000,61400.000000,60600.000000,60800.000000,59664.375000,11313150
2022-08-09,60600.000000,60700.000000,59600.000000,60000.000000,58879.320313,18251170
2022-08-10,58900.000000,59200.000000,58600.000000,59100.000000,57996.132813,18084349
2022-08-11,59600.000000,60000.000000,59300.000000,59900.000000,58781.191406,15141941
2022-08-12,59500.000000,60700.000000,59400.000000,60200.000000,59075.585938,10786658
2022-08-16,60500.000000,61600.000000,60300.000000,61000.000000,59860.640625,15036727
2022-08-17,61100.000000,61200.000000,60300.000000,60400.000000,59271.851563,9061518
2022-08-18,60300.000000,61900.000000,60000.000000,61500.000000,60351.304688,16372754
2022-08-19,61400.000000,61600.000000,60600.000000,60900.000000,59762.511719,6923679
2022-08-22,60300.000000,60400.000000,59800.000000,60000.000000,58879.320313,8259865
2022-08-23,59000.000000,59600.000000,59000.000000,59100.000000,57996.132813,9041629
2022-08-24,59200.000000,59500.000000,59000.000000,59000.000000,57898.000000,8888486
2022-08-25,59200.000000,59700.000000,59000.000000,59700.000000,58584.925781,5767902
2022-08-26,60300.000000,60900.000000,59900.000000,60000.000000,58879.320313,9499995
2022-08-29,58700.000000,58900.000000,58600.000000,58600.000000,57505.472656,9841329
2022-08-30,58700.000000,59000.000000,58300.000000,58800.000000,57701.738281,9690044
2022-08-31,58200.000000,59900.000000,58200.000000,59700.000000,58584.925781,14203512
2022-09-01,58700.000000,58900.000000,58300.000000,58400.000000,57309.207031,14905777
2022-09-02,58300.000000,58600.000000,57500.000000,57500.000000,56426.015625,15040310
2022-09-05,57400.000000,57800.000000,56800.000000,57100.000000,56033.488281,11425977
2022-09-06,57200.000000,57600.000000,56900.000000,57100.000000,56033.488281,7503086
2022-09-07,56700.000000,56700.000000,55900.000000,56000.000000,54954.031250,17384854
2022-09-08,56200.000000,56400.000000,55600.000000,55600.000000,54561.503906,18000016
2022-09-13,57000.000000,58500.000000,56800.000000,58100.000000,57014.808594,17166581
2022-09-14,56200.000000,57200.000000,56100.000000,56800.000000,55739.093750,12524961
2022-09-15,57000.000000,57100.000000,56000.000000,56000.000000,54954.031250,11664819
2022-09-16,55600.000000,56400.000000,55500.000000,56200.000000,55150.296875,13456503
2022-09-19,56300.000000,57000.000000,56000.000000,56400.000000,55346.562500,12278653
2022-09-20,56400.000000,57000.000000,55800.000000,55800.000000,54757.765625,14041465
2022-09-21,55400.000000,55500.000000,55000.000000,55300.000000,54267.109375,11863700
2022-09-22,54600.000000,54700.000000,54300.000000,54400.000000,53383.917969,12786510
2022-09-23,54400.000000,54900.000000,54200.000000,54500.000000,53482.050781,10555964
2022-09-26,53700.000000,54200.000000,53600.000000,53900.000000,52893.257813,15008449
2022-09-27,53800.000000,54200.000000,53500.000000,54200.000000,53187.652344,16631289
2022-09-28,53900.000000,54400.000000,52500.000000,52900.000000,51911.933594,19991129
2022-09-29,53300.000000,53700.000000,52600.000000,52600.000000,51972.207031,13882080
2022-09-30,52300.000000,53600.000000,51800.000000,53100.000000,52466.238281,22503249
2022-10-04,55300.000000,55400.000000,54500.000000,55200.000000,54541.175781,19148435
2022-10-05,56900.000000,57200.000000,55400.000000,56000.000000,55331.625000,22458970
2022-10-06,56700.000000,57300.000000,56300.000000,56300.000000,55628.046875,14944446
2022-10-07,55900.000000,56900.000000,55200.000000,56200.000000,55529.238281,16886813
2022-10-11,54400.000000,55700.000000,54000.000000,55400.000000,54738.789063,21437877
2022-10-12,55700.000000,57000.000000,55200.000000,55800.000000,55134.011719,18408910
2022-10-13,55400.000000,56100.000000,55200.000000,55200.000000,54541.175781,13784602
2022-10-14,56200.000000,56500.000000,55800.000000,56300.000000,55628.046875,12924326
2022-10-17,55800.000000,57000.000000,55700.000000,56600.000000,55924.464844,13641878
2022-10-18,56700.000000,57100.000000,55800.000000,56500.000000,55825.660156,14820702
2022-10-19,56700.000000,56900.000000,55700.000000,55800.000000,55134.011719,12660652
2022-10-20,55200.000000,56000.000000,55100.000000,55500.000000,54837.597656,17107653
2022-10-21,55100.000000,56300.000000,55100.000000,55900.000000,55232.820313,11456060
2022-10-24,57000.000000,57500.000000,56700.000000,57500.000000,56813.722656,16944503
2022-10-25,57000.000000,58600.000000,57000.000000,57700.000000,57011.335938,17405678
2022-10-26,58000.000000,59600.000000,57700.000000,59400.000000,58691.046875,20824967
2022-10-27,59700.000000,60100.000000,58900.000000,59500.000000,58789.855469,21756712
2022-10-28,58900.000000,59200.000000,57200.000000,57300.000000,56616.109375,20924937
2022-10-31,58100.000000,59900.000000,58000.000000,59400.000000,58691.046875,18999514
2022-11-01,59900.000000,60300.000000,59500.000000,60000.000000,59283.886719,17201647
2022-11-02,59700.000000,60000.000000,59300.000000,59600.000000,58888.660156,13202919
2022-11-03,58600.000000,59800.000000,58100.000000,59200.000000,58493.433594,17492162
2022-11-04,59100.000000,59500.000000,58400.000000,59400.000000,58691.046875,12445841
2022-11-07,59700.000000,60300.000000,59400.000000,60200.000000,59481.500000,12437246
2022-11-08,60500.000000,61900.000000,60500.000000,61800.000000,61062.406250,18273898
2022-11-09,62000.000000,62200.000000,61300.000000,62000.000000,61260.015625,14045592
2022-11-10,61400.000000,61500.000000,60400.000000,60400.000000,59679.113281,21087633
2022-11-11,63100.000000,63200.000000,62300.000000,62900.000000,62149.273438,20037163
2022-11-14,62900.000000,62900.000000,61700.000000,61900.000000,61161.210938,15973416
2022-11-15,62200.000000,62500.000000,61600.000000,62400.000000,61655.242188,12310986
2022-11-16,62400.000000,62700.000000,61700.000000,62700.000000,61951.660156,12909260
2022-11-17,62000.000000,62000.000000,61300.000000,61400.000000,60667.179688,13298296
2022-11-18,61800.000000,62400.000000,61400.000000,61800.000000,61062.406250,12236503
2022-11-21,61400.000000,61800.000000,60800.000000,61400.000000,60667.179688,9378097
2022-11-22,60900.000000,61200.000000,60300.000000,60600.000000,59876.722656,9411289
2022-11-23,61200.000000,61300.000000,60700.000000,61000.000000,60271.949219,8765050
2022-11-24,61200.000000,61700.000000,60900.000000,61400.000000,60667.179688,8125010
2022-11-25,61400.000000,61700.000000,60800.000000,61000.000000,60271.949219,6677933
2022-11-28,60500.000000,60500.000000,59800.000000,60100.000000,59382.695313,8589032
2022-11-29,59900.000000,60600.000000,59800.000000,60600.000000,59876.722656,7014160
2022-11-30,60400.000000,62200.000000,60200.000000,62200.000000,61457.628906,19768903
2022-12-01,63100.000000,63200.000000,62300.000000,62600.000000,61852.855469,16631445
2022-12-02,62500.000000,62500.000000,60400.000000,60400.000000,59679.113281,15331184
2022-12-05,60900.000000,61100.000000,60000.000000,60300.000000,59580.308594,13767787
2022-12-06,59800.000000,60100.000000,59200.000000,59200.000000,58493.433594,13888300
2022-12-07,58800.000000,59600.000000,58500.000000,58900.000000,58197.011719,12100662
2022-12-08,58700.000000,59200.000000,58600.000000,59200.000000,58493.433594,12986815
2022-12-09,59300.000000,60600.000000,59300.000000,60400.000000,59679.113281,10529632
2022-12-12,59900.000000,60000.000000,59400.000000,59500.000000,58789.855469,9036472
2022-12-13,59600.000000,60300.000000,59400.000000,59700.000000,58987.468750,9040873
2022-12-14,59800.000000,60600.000000,59800.000000,60500.000000,59777.917969,8207485
2022-12-15,59800.000000,60200.000000,59300.000000,59300.000000,58592.242188,8716039
2022-12-16,58300.000000,59500.000000,58300.000000,59500.000000,58789.855469,13033596
2022-12-19,59500.000000,59900.000000,59100.000000,59500.000000,58789.855469,7696187
2022-12-20,59000.000000,59100.000000,58500.000000,58600.000000,57900.597656,9284761
2022-12-21,58700.000000,59100.000000,58000.000000,58000.000000,57307.757813,10356971
2022-12-22,58100.000000,59100.000000,58100.000000,59100.000000,58394.628906,10720630
2022-12-23,58200.000000,58400.000000,57700.000000,58100.000000,57406.562500,9829407
2022-12-26,58000.000000,58100.000000,57700.000000,57900.000000,57208.949219,6756411
2022-12-27,58000.000000,58400.000000,57900.000000,58100.000000,57406.562500,10667027
2022-12-28,57600.000000,57600.000000,56400.000000,56600.000000,56274.121094,14665410
2022-12-29,56000.000000,56200.000000,55300.000000,55300.000000,54981.605469,11295935
2023-01-02,55500.000000,56100.000000,55200.000000,55500.000000,55180.453125,10031448
2023-01-03,55400.000000,56000.000000,54500.000000,55400.000000,55081.031250,13547030
2023-01-04,55700.000000,58000.000000,55600.000000,57800.000000,57467.210938,20188071
2023-01-05,58200.000000,58800.000000,57600.000000,58200.000000,57864.910156,15682826
2023-01-06,58300.000000,59400.000000,57900.000000,59000.000000,58660.304688,17334989
2023-01-09,59700.000000,60700.000000,59600.000000,60700.000000,60350.515625,18640107
2023-01-10,60200.000000,61100.000000,59900.000000,60400.000000,60052.242188,14859797
2023-01-11,61000.000000,61200.000000,60300.000000,60500.000000,60151.667969,12310751
2023-01-12,61100.000000,61200.000000,59900.000000,60500.000000,60151.667969,16102561
2023-01-13,60500.000000,61200.000000,60400.000000,60800.000000,60449.941406,12510328
2023-01-16,61300.000000,61600.000000,60800.000000,61100.000000,60748.210938,10039972
2023-01-17,61200.000000,61500.000000,60600.000000,61000.000000,60648.789063,9831456
2023-01-18,60700.000000,61000.000000,59900.000000,60400.000000,60052.242188,11584041
2023-01-19,60500.000000,61500.000000,60400.000000,61500.000000,61145.910156,12808490
2023-01-20,62100.000000,62300.000000,61100.000000,61800.000000,61444.183594,9646327
2023-01-25,63500.000000,63700.000000,63000.000000,63300.000000,62935.546875,39217
2023-01-26,63800.000000,63900.000000,63300.000000,63800.000000,63432.667969,54188
2023-01-27,64400.000000,65000.000000,63900.000000,64600.000000,64228.062500,44282
2023-01-30,64900.000000,64900.000000,63100.000000,63300.000000,62935.546875,59628
2023-01-31,63500.000000,63700.000000,61000.000000,61400.000000,61046.484375,163847
2023-02-01,62600.000000,62700.000000,61000.000000,61000.000000,60648.789063,98585
2023-02-02,63200.000000,63900.000000,62600.000000,63500.000000,63134.394531,65992
2023-02-03,63900.000000,64000.000000,63000.000000,63500.000000,63134.394531,47567
2023-02-06,62800.000000,63000.000000,61600.000000,61600.000000,61245.332031,144104
2023-02-07,61900.000000,62500.000000,61600.000000,62000.000000,61643.031250,32873
2023-02-08,62800.000000,63300.000000,62400.000000,63100.000000,62736.699219,42558
2023-02-09,63000.000000,63300.000000,62300.000000,63300.000000,62935.546875,48035
2023-02-10,62600.000000,63000.000000,62400.000000,62900.000000,62537.847656,44786
2023-02-13,62900.000000,63000.000000,62300.000000,62900.000000,62537.847656,59395
2023-02-14,63600.000000,63900.000000,63200.000000,63200.000000,62836.121094,70606
2023-02-15,63900.000000,63900.000000,62000.000000,62200.000000,61841.878906,58370
2023-02-16,62500.000000,63700.000000,62400.000000,63700.000000,63333.242188,41448
2023-02-17,62900.000000,63300.000000,62400.000000,62600.000000,62239.574219,28613
2023-02-20,62900.000000,63000.000000,61800.000000,62700.000000,62339.000000,29846
2023-02-21,62700.000000,62800.000000,62000.000000,62100.000000,61742.453125,60971
2023-02-22,61500.000000,61800.000000,61000.000000,61100.000000,60748.210938,39178
2023-02-23,61700.000000,62500.000000,61500.000000,62000.000000,61643.031250,37145
2023-02-24,62300.000000,62600.000000,61300.000000,61300.000000,60947.062500,50792
2023-02-27,60800.000000,60800.000000,60200.000000,60500.000000,60151.667969,11155697
2023-02-28,60800.000000,61400.000000,60500.000000,60600.000000,60251.089844,13715861
2023-03-02,60900.000000,61800.000000,60500.000000,60800.000000,60449.941406,13095682
2023-03-03,61000.000000,61200.000000,60500.000000,60500.000000,60151.667969,10711405
2023-03-06,61100.000000,61600.000000,60800.000000,61500.000000,61145.910156,13630602
2023-03-07,61400.000000,61400.000000,60700.000000,60700.000000,60350.515625,11473280
2023-03-08,60100.000000,60500.000000,59900.000000,60300.000000,59952.820313,14161857
2023-03-09,60500.000000,60800.000000,59900.000000,60100.000000,59753.968750,14334499
2023-03-10,59500.000000,59700.000000,59100.000000,59500.000000,59157.425781,11902471
2023-03-13,59900.000000,60200.000000,59300.000000,60000.000000,59654.546875,12779724
2023-03-14,59400.000000,59500.000000,59000.000000,59000.000000,58660.304688,12147346
2023-03-15,60000.000000,60300.000000,59600.000000,59800.000000,59455.699219,10482149
2023-03-16,59200.000000,60200.000000,59100.000000,59900.000000,59555.121094,10611939
2023-03-17,60800.000000,61300.000000,60600.000000,61300.000000,60947.062500,14090110
2023-03-20,61100.000000,61200.000000,60200.000000,60200.000000,59853.394531,9618009
2023-03-21,60500.000000,60700.000000,60100.000000,60300.000000,59952.820313,8318514
2023-03-22,61000.000000,61200.000000,60500.000000,61100.000000,60748.210938,8978591
2023-03-23,60600.000000,62300.000000,60600.000000,62300.000000,61941.304688,15381057
2023-03-24,62700.000000,63300.000000,62300.000000,63000.000000,62637.273438,18278602
2023-03-27,62600.000000,62800.000000,62000.000000,62100.000000,61742.453125,11039331
2023-03-28,62400.000000,62900.000000,62100.000000,62900.000000,62537.847656,11614118
2023-03-29,62500.000000,62700.000000,62200.000000,62700.000000,62339.000000,11216008
2023-03-30,63700.000000,63700.000000,63100.000000,63200.000000,63200.000000,15684377
2023-03-31,64000.000000,64000.000000,63700.000000,64000.000000,64000.000000,14094479
2023-04-03,64000.000000,64000.000000,63000.000000,63100.000000,63100.000000,11973133
2023-04-04,63400.000000,63800.000000,62800.000000,63600.000000,63600.000000,11120514
2023-04-05,63700.000000,64000.000000,63400.000000,63900.000000,63900.000000,9176149
2023-04-06,63500.000000,63600.000000,62300.000000,62300.000000,62300.000000,14992747
2023-04-07,63800.000000,65200.000000,63800.000000,65000.000000,65000.000000,27476120
2023-04-10,64800.000000,66300.000000,64700.000000,65700.000000,65700.000000,18777166
2023-04-11,66200.000000,66200.000000,65400.000000,65900.000000,65900.000000,16323183
2023-04-12,65800.000000,66200.000000,65300.000000,66000.000000,66000.000000,15021313
2023-04-13,65600.000000,66100.000000,65400.000000,66100.000000,66100.000000,15091022
2023-04-14,66600.000000,66600.000000,65000.000000,65100.000000,65100.000000,16176490
2023-04-17,65000.000000,65600.000000,64700.000000,65300.000000,65300.000000,13486618
2023-04-18,65900.000000,66000.000000,64800.000000,65600.000000,65600.000000,14802060
2023-04-19,65500.000000,65800.000000,65300.000000,65500.000000,65500.000000,10255985
2023-04-20,65100.000000,65300.000000,64600.000000,65300.000000,65300.000000,9501169
2023-04-21,65800.000000,65900.000000,65400.000000,65700.000000,65700.000000,10538622
